3.96,3.75
3.46,3.11
3.51,3.44
2.34,2.53
2.66,2.66
3.12,2.79
3.28,2.91
3.46,3.22
2.34,2.55
3.54,3.5
2.97,2.85
3.27,3.32
2.41,2.64
3.49,3.17
2.82,2.67
3.46,3.1
3.27,2.93
3.79,3.66
3.04,2.91
3.12,3.07
3.34,3.32
3.4,2.98
3.18,3.1
3.02,2.71
3.85,3.75
2.7,2.72
3.52,3.48
3.56,3.29
2.93,2.87
2.18,2.36
3.55,3.4
3.04,3.12
3.22,3.27
3.29,3.05
3.23,3.13
3.53,3.32
3.63,3.58
2.94,3.04
3.21,2.84
2.98,2.88
3.64,3.12
3.55,3.63
2.99,2.9
2.31,2.55
3.47,3.29
3.26,2.96
3.49,3.33
3.43,3.12
2.74,2.62
3.74,3.44
3.65,3.55
3.07,2.97
